teilnehmer_id,gruppe,alter,geschlecht,ohrenkrankheiten,ohrenkrankheiten_welche,arbeitsplatz_laut,bueromaschinen,haushaltsgeraete,baumaschinen,noise_cancelling,anstrengung,schwierige_aufgaben,brummen_einfluss,brummen_hinsicht,gefuehl_langsamer,gefuehl_fehler,lautstaerke,bewusst_wahrgenommen,strategie,block,trial_in_block,trial_global,suchtyp,audio,zeit_ms,richtig
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,7,6,66,attentiv,ohne_netzbrummen,1205,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,7,7,67,attentiv,ohne_netzbrummen,1087,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,7,8,68,attentiv,ohne_netzbrummen,698,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,7,9,69,attentiv,ohne_netzbrummen,839,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,7,10,70,attentiv,ohne_netzbrummen,946,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,8,1,71,attentiv,mit_netzbrummen,1400,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,8,2,72,attentiv,mit_netzbrummen,1824,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,8,3,73,attentiv,mit_netzbrummen,1881,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,8,4,74,attentiv,mit_netzbrummen,1302,0
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,8,5,75,attentiv,mit_netzbrummen,1721,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,8,6,76,attentiv,mit_netzbrummen,3127,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,8,7,77,attentiv,mit_netzbrummen,1448,0
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,8,8,78,attentiv,mit_netzbrummen,1501,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,8,9,79,attentiv,mit_netzbrummen,1551,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,8,10,80,attentiv,mit_netzbrummen,2177,1
